stat,mbti,enneagram,role,movie,img_url
697 / 162  ,ESFP,7w6,"Peter Quill ""Star-Lord""",   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/800.png?=undefined
668 / 231  ,ESFP,8w7,Anakin Skywalker,   Star Wars,https://www.personality-database.com/profile_images/57.png?=undefined
589 / 243  ,ESFP,6w7,Ron Weasley,   Harry Potter (franchise),https://www.personality-database.com/profile_images/709.png?=undefined
312 / 101  ,ESFP,7w8,Bellatrix Lestrange,   Harry Potter (franchise),https://www.personality-database.com/profile_images/4045.png?=undefined
302 / 105  ,ESFP,7w6,Simba,   The Lion King (1994),https://www.personality-database.com/profile_images/868.png?=undefined
270 / 100  ,ESFP,7w6,Donkey,   Shrek (Franchise),https://www.personality-database.com/profile_images/1936.png?=undefined
246 / 93  ,ESFP,9w8,"Bob Parr ""Mr. Incredible""",   The Incredibles (Franchise),https://www.personality-database.com/profile_images/6583.png?=undefined
233 / 86  ,ESFP,7w6,Jack Dawson,   Titanic (1997),https://www.personality-database.com/profile_images/2835.png?=undefined
232 / 53  ,ESFP,7w8,Aladdin,   Aladdin (1992),https://www.personality-database.com/profile_images/611.png?=undefined
201 / 59  ,ESFP,7w6,Marty McFly,   Back to the Future (franchise),https://www.personality-database.com/profile_images/1355.png?=undefined
186 / 71  ,ESFP,8w7,Jasmine,   Aladdin (1992),https://www.personality-database.com/profile_images/2928.png?=undefined
178 / 71  ,ESFP,4w3,Marla Singer,   Fight Club (1999),https://www.personality-database.com/profile_images/6820.png?=undefined
155 / 48  ,ESFP,8w7,Erik Killmonger,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/9912.png?=undefined
154 / 49  ,ESFP,8w7,Elizabeth Swann,   Pirates of the Caribbean,https://www.personality-database.com/profile_images/605.png?=undefined
153 / 36  ,ESFP,6w7,"Sam Wilson ""Falcon""",   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/804.png?=undefined
152 / 39  ,ESFP,8w7,Chewbacca,   Star Wars,https://www.personality-database.com/profile_images/2582.png?=undefined
148 / 43  ,ESFP,7w6,Jar Jar Binks,   Star Wars,https://www.personality-database.com/profile_images/60.png?=undefined
141 / 50  ,ESFP,3w2,Gilderoy Lockhart,   Harry Potter (franchise),https://www.personality-database.com/profile_images/3546.png?=undefined
134 / 41  ,ESFP,7w6,Miguel Rivera,   Coco (2017),https://www.personality-database.com/profile_images/10477.png?=undefined
134 / 35  ,ESFP,7w6,"Peregrin ""Pippin"" Took",   The Lord of the Rings,https://www.personality-database.com/profile_images/577.png?=undefined
131 / 43  ,ESFP,9w8,Pumbaa,   The Lion King (1994),https://www.personality-database.com/profile_images/870.png?=undefined
130 / 39  ,ESFP,7w8,Dudley Dursley,   Harry Potter (franchise),https://www.personality-database.com/profile_images/13735.png?=undefined
129 / 41  ,ESFP,7w6,Nemo,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/3073.png?=undefined
126 / 47  ,ESFP,7w8,Jessie,   Toy Story (Franchise),https://www.personality-database.com/profile_images/2218.png?=undefined
116 / 46  ,ESFP,7w8,Prince Naveen,   The Princess and the Frog (2009),https://www.personality-database.com/profile_images/6343.png?=undefined
113 / 63  ,ESFP,7w6,Tigger,   Winnie the Pooh (2011),https://www.personality-database.com/profile_images/8743.png?=undefined
111 / 28  ,ESFP,2w3,Jenny,   Forrest Gump (1994),https://www.personality-database.com/profile_images/7022.png?=undefined
100 / 45  ,ESFP,3w2,Charlotte LaBouff,   The Princess and the Frog (2009),https://www.personality-database.com/profile_images/14698.png?=undefined
97 / 45  ,ESFP,3w4,Rick Dalton,   Once Upon a Time in Hollywood (2019),https://www.personality-database.com/profile_images/37836.png?=undefined
95 / 22  ,ESFP,8w7,Hulk,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/20233.png?=undefined
88 / 27  ,ESFP,2w3,Lavender Brown,   Harry Potter (franchise),https://www.personality-database.com/profile_images/13736.png?=undefined
88 / 31  ,ESFP,3w2,Caesar Flickerman,   The Hunger Games,https://www.personality-database.com/profile_images/1155.png?=undefined
83 / 44  ,ESFP,7w6,Augustus Gloop,   Charlie and the Chocolate Factory (2005),https://www.personality-database.com/profile_images/45443.png?=undefined
78 / 27  ,ESFP,7w6,Mater,   Cars (Franchise),https://www.personality-database.com/profile_images/13654.png?=undefined
76 / 31  ,ESFP,7w6,Dug,   Up (2009),https://www.personality-database.com/profile_images/5731.png?=undefined
75 / 22  ,ESFP,2w3,Frederico Corleone,   The Godfather,https://www.personality-database.com/profile_images/4036.png?=undefined
74 / 16  ,ESFP,2w3,Peter Kavinsky,   To All the Boys I've Loved Before (2018),https://www.personality-database.com/profile_images/15175.png?=undefined
73 / 20  ,ESFP,7w6,Clawhauser,   Zootopia (2016),https://www.personality-database.com/profile_images/2563.png?=undefined
72 / 23  ,ESFP,7w6,Jonathan,   Hotel Transylvania (2012),https://www.personality-database.com/profile_images/12271.png?=undefined
72 / 29  ,ESFP,7w6,Ed,   The Lion King (1994),https://www.personality-database.com/profile_images/37223.png?=undefined
65 / 31  ,ESFP,8w7,David Mills,   Se7en (1995),https://www.personality-database.com/profile_images/10897.png?=undefined
65 / 27  ,ESFP,3w4,Heather Duke,   Heathers (1988),https://www.personality-database.com/profile_images/2778.png?=undefined
63 / 15  ,ESFP,7w8,Agent J / James Darrell Edwards III,   Men in Black,https://www.personality-database.com/profile_images/2854.png?=undefined
60 / 19  ,ESFP,7w6,Gobber,   How to Train Your Dragon (Franchise),https://www.personality-database.com/profile_images/898.png?=undefined
59 / 24  ,ESFP,9w1,Crush,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/20406.png?=undefined
59 / 22  ,ESFP,2w3,Lumiere,   Beauty and the Beast (1991),https://www.personality-database.com/profile_images/8773.png?=undefined
59 / 38  ,ESFP,6w7,Scrat,   Ice Age (Franchise),https://www.personality-database.com/profile_images/70976.png?=undefined
59 / 22  ,ESFP,9w8,Monkey,   Kung Fu Panda (franchise),https://www.personality-database.com/profile_images/6506.png?=undefined
59 / 26  ,ESFP,6w7,Ryan Evans,   High School Musical (Film Trilogy),https://www.personality-database.com/profile_images/27288.png?=undefined
58 / 17  ,ESFP,3w4,"Eddie Brock ""Venom""",   The Spider-Man Trilogy,https://www.personality-database.com/profile_images/1089.png?=undefined
57 / 16  ,ESFP,7w6,"Billy Batson ""Shazam""",   DC Extended Universe,https://www.personality-database.com/profile_images/26554.png?=undefined
57 / 29  ,ESFP,7w8,Kiara,   The Lion King (1994),https://www.personality-database.com/profile_images/14026.png?=undefined
57 / 15  ,ESFP,7w6,Mowgli,   The Jungle Book (1967),https://www.personality-database.com/profile_images/2295.png?=undefined
57 / 16  ,ESFP,9w8,Baloo,   The Jungle Book (1967),https://www.personality-database.com/profile_images/2296.png?=undefined
55 / 10  ,ESFP,2w3,Elle Evans,   The Kissing Booth,https://www.personality-database.com/profile_images/31307.png?=undefined
54 / 25  ,ESFP,6w7,Hal Stewart,   Megamind (2010),https://www.personality-database.com/profile_images/41979.png?=undefined
54 / 26  ,ESFP,7w6,Pussycat,   Once Upon a Time in Hollywood (2019),https://www.personality-database.com/profile_images/53168.png?=undefined
54 / 31  ,ESFP,3w4,Angela Hayes,   American Beauty (1999),https://www.personality-database.com/profile_images/10533.png?=undefined
54 / 31  ,ESFP,7w6,Other Father,   Coraline (2009),https://www.personality-database.com/profile_images/7253.png?=undefined
51 / 17  ,ESFP,7w8,Tuffnut,   How to Train Your Dragon (Franchise),https://www.personality-database.com/profile_images/896.png?=undefined
51 / 17  ,ESFP,7w8,Tuffnut,   How to Train Your Dragon (Franchise),https://www.personality-database.com/profile_images/896.png?=undefined
50 / 8  ,ESFP,7w6,Freddie Mercury,   Bohemian Rhapsody (2018),https://www.personality-database.com/profile_images/19259.png?=undefined
49 / 15  ,ESFP,6w7,Erika,   Barbie as the Princess and the Pauper (2004),https://www.personality-database.com/profile_images/55899.png?=undefined
46 / 13  ,ESFP,7w6,Daniel LaRusso,   Karate Kid (1984),https://www.personality-database.com/profile_images/11831.png?=undefined
46 / 17  ,ESFP,7w6,"Mary ""Boo"" Gibbs","   Monsters, Inc. (2001)",https://www.personality-database.com/profile_images/10518.png?=undefined
45 / 11  ,ESFP,7w6,Kili,   The Hobbit,https://www.personality-database.com/profile_images/17937.png?=undefined
45 / 9  ,ESFP,7w6,Luis,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/12943.png?=undefined
45 / 14  ,ESFP,7w6,Lance Corporal Tom Blake,   1917 (2019),https://www.personality-database.com/profile_images/82931.png?=undefined
44 / 13  ,ESFP,9w8,Daisy Buchanan,   The Great Gatsby (2013),https://www.personality-database.com/profile_images/36858.png?=undefined
44 / 21  ,ESFP,3w4,Miss Miriam Forcible,   Coraline (2009),https://www.personality-database.com/profile_images/7247.png?=undefined
44 / 21  ,ESFP,3w4,Miss Miriam Forcible,   Coraline (2009),https://www.personality-database.com/profile_images/7247.png?=undefined
43 / 15  ,ESFP,7w8,Dr. Frank-N-Furter,   The Rocky Horror Picture Show (1975),https://www.personality-database.com/profile_images/9267.png?=undefined
43 / 12  ,ESFP,7w6,Gary 'Eggsy' Unwin / Galahad,   Kingsman,https://www.personality-database.com/profile_images/32842.png?=undefined
42 / 14  ,ESFP,2w3,Debora,   Baby Driver (2017),https://www.personality-database.com/profile_images/9534.png?=undefined
42 / 16  ,ESFP,2w3,Prince Charming,   Cinderella (1950),https://www.personality-database.com/profile_images/30652.png?=undefined
42 / 18  ,ESFP,6w7,Fawn,   Tinker Bell (2008),https://www.personality-database.com/profile_images/35155.png?=undefined
41 / 18  ,ESFP,6w7,LeFou,   Beauty and the Beast (1991),https://www.personality-database.com/profile_images/24338.png?=undefined
40 / 17  ,ESFP,7w8,"Donny ""The Bear Jew"" Donowitz",   Inglourious Basterds (2009),https://www.personality-database.com/profile_images/11060.png?=undefined
40 / 20  ,ESFP,6w7,Mayor,   The Nightmare Before Christmas (1993),https://www.personality-database.com/profile_images/766.png?=undefined
40 / 17  ,ESFP,3w4,Tamatoa,   Moana (2016),https://www.personality-database.com/profile_images/28862.png?=undefined
39 / 18  ,ESFP,7w8,Heloise,   Portrait of a Lady on Fire (2019),https://www.personality-database.com/profile_images/78930.png?=undefined
39 / 13  ,ESFP,3w4,Dionne Davenport,   Clueless (1995),https://www.personality-database.com/profile_images/18379.png?=undefined
39 / 13  ,ESFP,7w6,Scuttle,   The Little Mermaid (1989),https://www.personality-database.com/profile_images/5869.png?=undefined
38 / 16  ,ESFP,7w6,Colin Creevey,   Harry Potter (franchise),https://www.personality-database.com/profile_images/54492.png?=undefined
38 / 11  ,ESFP,6w7,Stu Hopps,   Zootopia (2016),https://www.personality-database.com/profile_images/2565.png?=undefined
36 / 18  ,ESFP,7w8,"Dolores Haze ""Lolita""",   Lolita (1997),https://www.personality-database.com/profile_images/49480.png?=undefined
36 / 18  ,ESFP,7w6,Dru,   Despicable Me,https://www.personality-database.com/profile_images/13352.png?=undefined
35 / 16  ,ESFP,3w2,Duke Caboom,   Toy Story (Franchise),https://www.personality-database.com/profile_images/40233.png?=undefined
35 / 16  ,ESFP,8w7,Darla,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/59675.png?=undefined
33 / 12  ,ESFP,7w6,Tommy Williams,   The Shawshank Redemption (1994),https://www.personality-database.com/profile_images/8709.png?=undefined
33 / 12  ,ESFP,7w6,Tommy Williams,   The Shawshank Redemption (1994),https://www.personality-database.com/profile_images/8709.png?=undefined
31 / 10  ,ESFP,7w8,Lydia Bennet,   Pride and Prejudice (2005),https://www.personality-database.com/profile_images/7581.png?=undefined
31 / 14  ,ESFP,7w6,Gigi,   Booksmart (2019),https://www.personality-database.com/profile_images/38765.png?=undefined
31 / 11  ,ESFP,7w8,Dim,   A Clockwork Orange (1971),https://www.personality-database.com/profile_images/11571.png?=undefined
31 / 10  ,ESFP,8w7,Cruella de Vil,   101 Dalmatians (1996),https://www.personality-database.com/profile_images/29323.png?=undefined
31 / 11  ,ESFP,7w6,Goofy,   A Goofy Movie (1995),https://www.personality-database.com/profile_images/8857.png?=undefined
31 / 11  ,ESFP,7w6,Roman Pearce,   The Fast and the Furious,https://www.personality-database.com/profile_images/4781.png?=undefined
30 / 5  ,ESFP,6w7,The Cowardly Lion,   The Wizard of Oz (1939),https://www.personality-database.com/profile_images/21147.png?=undefined
