index,mbti,movie
0,"Peter Quill ""Star-Lord""(ESFP),Erik Killmonger(ESFP),Sam Wilson ""Falcon""(ESFP),Hulk(ESFP),Luis(ESFP),Meredith Quill(ESFP),Volstagg(ESFP),May Parker(ESFJ),Betty Brant(ESFJ),Janet van Dyne(ESFJ),Liz Allan(ESFJ),Bill Foster(ESFJ),Maria Rambeau(ESFJ),Maggie Lang(ESFJ),Mr. Harrington(ESFJ),Rhomann Dey(ESFJ),Thor(ESTP),Rocket Raccoon(ESTP),Scott Lang ""Ant-Man""(ESTP),Drax(ESTP),Yondu Udonta(ESTP),Pietro Maximoff ""Quicksilver""(ESTP),Darcy Lewis(ESTP),Ulysses Klaue(ESTP),Flash Thompson(ESTP),Skurge(ESTP),Cull Obsidian(ESTP),Taserface(ESTP),Brad Davis(ESTP),Trevor Slattery(ESTP),Trevor Slattery(ESTP),Sonny Burch(ESTP),Herman Schultz ""Shocker""(ESTP),Mr. Delmar(ESTP),Miek(ESTP),Mitchell Carson(ESTP),Mitchell Carson(ESTP),Julius Dell(ESTP),Baby Groot(ESTP),Ebony Maw(ESTJ),Everett K. Ross(ESTJ),Darren Cross ""Yellowjacket""(ESTJ),M'Baku(ESTJ),Lady Sif(ESTJ),Ayesha(ESTJ),Thaddeus Ross(ESTJ),Colonel Chester Phillips(ESTJ),J. Jonah Jameson(ESTJ),J. Jonah Jameson(ESTJ),Baron von Strucker(ESTJ),Jim Paxton(ESTJ),Kurse(ESTJ),Nova Prime(ESTJ),Senator Stern(ESTJ),Senator Stern(ESTJ),Bron-Char(ESTJ),Bron-Char(ESTJ),Stakar Ogord(ESTJ),Stakar Ogord(ESTJ),Officer Gale(ESTJ),Councilwoman Hawley(ESTJ),Peter Parker ""Spider-Man""(ENFP),Korg(ENFP),Monica Rambeau(ENFP),Quentin Beck ""Mysterio""(ENFJ),Ego(ENFJ),Frigga(ENFJ),Christine Palmer(ENFJ),Betty Ross(ENFJ),Tony Stark ""Iron Man""(ENTP),Shuri(ENTP),The Grandmaster(ENTP),Ned Leeds(ENTP),Harley Keener(ENTP),Cloak of Levitation(ENTP),Watcher Informant (Stan Lee Cameos)(ENTP),Fandral(ENTP),Samuel Sterns ""Mr. Blue""(ENTP),Nick Fury(ENTJ),Hela(ENTJ),Ultron(ENTJ),Adrian Toomes ""Vulture""(ENTJ),Odin(ENTJ),Johann Schmidt ""Red Skull""(ENTJ),Alexander Pierce(ENTJ),Aldrich Killian(ENTJ),Carol Danvers ""Captain Marvel""(ISFP),Ava Starr ""Ghost""(ISFP),Goose(ISFP),Eitri(ISFP),Kraglin(ISFP),N'Jobu(ISFP),Carina(ISFP),Steve Rogers ""Captain America""(ISFJ),T'Challa ""Black Panther""(ISFJ),Groot(ISFJ),Pepper Potts(ISFJ),Happy Hogan(ISFJ),Heimdall(ISFJ),Sharon Carter ""Agent 13""(ISFJ),T'Chaka(ISFJ),Ramonda(ISFJ),Laura Barton(ISFJ),Zuri(ISFJ),Laura Barton(ISFJ),Maria Stark(ISFJ),Soren(ISFJ),Norex(ISFJ),Natasha Romanoff ""Black Widow""(ISTP),Clint Barton ""Hawkeye""(ISTP),Bucky Barnes ""Winter Soldier""(ISTP),Valkyrie(ISTP),Brock Rumlow ""Crossbones""(ISTP),Ivan Vanko ""Whiplash""(ISTP),W'Kabi(ISTP),Proxima Midnight(ISTP),Eric Savin(ISTP),Jonathan Pangborn(ISTP),Raza Hamidmi Al-Wazar(ISTP),Dimitri Smerdyakov(ISTP),Mac Gargan ""Scorpion""(ISTP),Mac Gargan ""Scorpion""(ISTP),Ellen Brandt(ISTP),Georges Batroc(ISTP),Ellen Brandt(ISTP),Jim Morita(ISTP),Gamora(ISTJ),Nebula(ISTJ),James Rhodes ""War Machine""(ISTJ),Hope Van Dyne ""Wasp""(ISTJ),Okoye(ISTJ),Wong(ISTJ),Maria Hill(ISTJ),Ronan the Accuser(ISTJ),Karl Mordo(ISTJ),Emil Blonsky ""Abomination""(ISTJ),Ayo(ISTJ),Malekith(ISTJ),Korath the Pursuer(ISTJ),Jimmy Woo(ISTJ),Corvus Glaive(ISTJ),Minn-Erva(ISTJ),Att-Lass(ISTJ),Hogun(ISTJ),Akihiko (Yakuza Boss)(ISTJ),Laufey(ISTJ),Topaz(ISTJ),Jasper Sitwell(ISTJ),The Other(ISTJ),President Matthew Ellis(ISTJ),Denarian Saal(ISTJ),President Matthew Ellis(ISTJ),Vasily Karpov(ISTJ),Roeder(ISTJ),Wanda Maximoff ""Scarlet Witch""(INFP),Mantis(INFP),Cassie Lang(INFP),Morgan H. Stark(INFP),Loki(INFJ),Vision(INFJ),The Ancient One(INFJ),Nakia(INFJ),Talos(INFJ),Ho Yinsen(INFJ),Wendy Lawson (Mar-Vell)(INFJ),Bruce Banner ""Hulk""(INTP),Michelle ""MJ"" Jones(INTP),Hank Pym(INTP),Jane Foster(INTP),Arnim Zola(INTP),J.A.R.V.I.S.(INTP),Erik Selvig(INTP),Helen Cho(INTP),Kurt(INTP),Phineas Mason ""Tinkerer""(INTP),Heinz Kruger(INTP),William Ginter Riva(INTP),Leonard Samson(INTP),Thanos(INTJ),Stephen Strange ""Doctor Strange""(INTJ),Helmut Zemo(INTJ),Kaecilius(INTJ),Taneleer Tivan ""The Collector""(INTJ),Yon-Rogg(INTJ),Supreme Intelligence(INTJ),",   Marvel Cinematic Universe
1,"Anakin Skywalker(ESFP),Chewbacca(ESFP),Jar Jar Binks(ESFP),Salacious B. Crumb(ESFP),Salacious B. Crumb(ESFP),Jannah(ESFP),Sy Snootles(ESFP),Weeteef Cyu-Bee(ESFP),Weeteef Cyu-Bee(ESFP),Temmin ""Snap"" Wexley(ESFP),Amilyn Holdo(ESFJ),Eeth Koth(ESFJ),Captain Typho(ESFJ),Captain Typho(ESFJ),General Jan Dodonna(ESFJ),Han Solo(ESTP),Poe Dameron(ESTP),Lando Calrissian(ESTP),Jabba the Hutt(ESTP),DJ(ESTP),Baze Malbus(ESTP),Watto(ESTP),Bossk(ESTP),Admiral Raddus(ESTP),Dexter Jettster(ESTP),Dexter Jettster(ESTP),Biggs Darklighter(ESTP),Arvel Crynyd(ESTP),Sergeant Ruescott Melshi(ESTP),Bargwill Tomder(ESTP),Grummgar(ESTP),Tallisan ""Tallie"" Lintra(ESTP),Teebo(ESTP),Tasu Leech(ESTP),Leia Organa(ESTJ),General Grievous(ESTJ),Captain Phasma(ESTJ),Nute Gunray(ESTJ),Boss Nass(ESTJ),Commander Cody(ESTJ),Admiral Motti(ESTJ),General Veers(ESTJ),Mas Amedda(ESTJ),Mas Amedda(ESTJ),Even Piell(ESTJ),Wat Tambor(ESTJ),Wat Tambor(ESTJ),Captain Canady(ESTJ),Captain Canady(ESTJ),Captain Canady(ESTJ),Lady Proxima(ESTJ),Lady Proxima(ESTJ),Bala-Tik(ESTJ),Lott Dod(ESTJ),Tarfful(ESTJ),Quay Tolsite(ESTJ),Po Nudo(ESTJ),Moloch(ESTJ),Slowen Lo(ESTJ),EV-9D9(ESTJ),Finn / FN-2187(ENFP),BB-8(ENFP),Kit Fisto(ENFP),Padmé Amidala(ENFJ),Bail Organa(ENFJ),Wedge Antilles(ENFJ),Lyra Erso(ENFJ),Sabé(ENFJ),R2-D2(ENTP),Babu Frik(ENTP),Nebit (Jawa)(ENTP),Max Rebo(ENTP),Count Dooku(ENTJ),Snoke(ENTJ),Orson Krennic(ENTJ),Tobias Beckett(ENTJ),Allegiant General Pryde(ENTJ),Poggle the Lesser(ENTJ),Sun Fac(ENTJ),San Hill(ENTJ),Master Codebreaker(ENTJ),Rey(ISFP),Jyn Erso(ISFP),Rose Tico(ISFP),Bodhi Rook(ISFP),Wicket W. Warrick(ISFP),Admiral Ozzel(ISFP),Enfys Nest(ISFP),D-O(ISFP),Bistan(ISFP),Bistan(ISFP),Oola(ISFP),Oola(ISFP),Oola(ISFP),Droopy McCool(ISFP),Temiri Blagg(ISFP),C-3PO(ISFJ),Mon Mothma(ISFJ),Val(ISFJ),Shmi Skywalker Lars(ISFJ),Shmi Skywalker Lars(ISFJ),Beru Lars(ISFJ),Adi Gallia(ISFJ),Agen Kolar(ISFJ),Sors Bandeam (Youngling)(ISFJ),Admiral Statura(ISFJ),Kaydel Ko Connix(ISFJ),Taun We(ISFJ),Taun We(ISFJ),Yarael Poof(ISFJ),Yarael Poof(ISFJ),Yarael Poof(ISFJ),Commander Larma D'Acy(ISFJ),Sio Bibble(ISFJ),Lieutenant Dopheld Mitaka(ISFJ),Paige Tico(ISFJ),Captain Raymus Antilles(ISFJ),Stass Allie(ISFJ),TC-14(ISFJ),General Caluan Ematt(ISFJ),Boba Fett(ISTP),Darth Maul(ISTP),Jango Fett(ISTP),Greedo(ISTP),Zam Wesell(ISTP),Zorii Bliss(ISTP),Zorii Bliss(ISTP),Captain Sidon Ithano(ISTP),C'ai Threnalli(XXXX),C'ai Threnalli(XXXX),C'ai Threnalli(XXXX),C'ai Threnalli(XXXX),Salty Sharp(ISTP),Lieutenant Wrobie Tyce(ISTP),Edrio Two-Tubes(ISTP),Weazel(ISTP),Ric Olié(ISTP),Teedo(ISTP),Boolio(ISTP),Darth Vader(ISTJ),Mace Windu(ISTJ),General Hux(ISTJ),Grand Moff Tarkin(ISTJ),Cassian Andor(ISTJ),Admiral Ackbar(ISTJ),Saw Gerrera(ISTJ),Admiral Piett(ISTJ),Captain Needa(ISTJ),BB-9E(ISTJ),Rune Haako(ISTJ),Rune Haako(ISTJ),Commander Bacara(ISTJ),Commander Bacara(ISTJ),Lobot(ISTJ),Lobot(ISTJ),Jocasta Nu(ISTJ),Cliegg Lars(ISTJ),Dr. Cornelius Evazan(ISTJ),Dr. Cornelius Evazan(ISTJ),Jocasta Nu(ISTJ),Tion Medon(ISTJ),General Crix Madine(ISTJ),Tion Medon(ISTJ),General Carlist Rieekan(ISTJ),Zuckuss(ISTJ),Aftab Ackbar(ISTJ),Commander Gherant(ISTJ),Captain Peavey(ISTJ),Chief Chirpa(ISTJ),Daultay Dofine(ISTJ),Oppo Rancisis(ISTJ),Passel Argente(ISTJ),Sly Moore(ISTJ),Shu Mai(ISTJ),Boga(ISTJ),Mister Bones(XXXX),Luke Skywalker(INFP),Kylo Ren / Ben Solo(INFP),Chirrut Îmwe(INFP),Barriss Offee(INFP),Obi-Wan Kenobi(INFJ),Qui-Gon Jinn(INFJ),Galen Erso(INFJ),Maz Kanata(INFJ),Qi'ra(INFJ),Plo Koon(INFJ),Aayla Secura(INFJ),Jedi Order(INFJ),Jedi Order(INFJ),Chancellor Valorum(INFJ),Lor San Tekka(INFJ),Yaddle(INFJ),Depa Billaba(INFJ),Logray(INFJ),Binary Sunset(INFJ),Yoda(INTP),IG-88(INTP),Ki-Adi-Mundi(INTP),Moff Jerjerrod(INTP),Benthic Two-Tubes(INTP),Beaumont Kin(INTP),Klaud(INTP),Sheev Palpatine(INTJ),K-2SO(INTJ),Dryden Vos(INTJ),Dryden Vos(INTJ),Lama Su(INTJ),",   Star Wars
2,"Ron Weasley(ESFP),Bellatrix Lestrange(ESFP),Gilderoy Lockhart(ESFP),Dudley Dursley(ESFP),Lavender Brown(ESFP),Colin Creevey(ESFP),Cedric Diggory(ESFJ),Molly Weasley(ESFJ),Petunia Dursley(ESFJ),Fleur Delacour(ESFJ),Horace Slughorn(ESFJ),Amos Diggory(ESFJ),Gregory Goyle(ESFJ),Gregory Goyle(ESFJ),Madam Rosmerta(ESFJ),Hedwig(ESFJ),Pomona Sprout(ESFJ),Sirius Black(ESTP),James Potter(ESTP),Fenrir Greyback(ESTP),Vincent Crabbe(ESTP),Cormac McLaggen(ESTP),Angelina Johnson(ESTP),Samira Amaral(ESTP),Hermione Granger(ESTJ),Draco Malfoy(ESTJ),Dolores Umbridge(ESTJ),Lucius Malfoy(ESTJ),Alastor ""Mad-Eye"" Moody(ESTJ),Vernon Dursley(ESTJ),Cornelius Fudge(ESTJ),Rolanda Hooch(ESTJ),Pansy Parkinson(ESTJ),Griphook(ESTJ),Death Eaters(ESTJ),Olympe Maxime(ESTJ),Corban Yaxley(ESTJ),Nymphadora Tonks(ENFP),Xenophilius Lovegood(ENFP),Nearly Headless Nick(ENFP),Lysander Scamander(ENFP),Lily Evans(ENFJ),Fred Weasley(ENTP),George Weasley(ENTP),Barty Crouch Jr.(ENTP),Sorting Hat(ENTP),Rita Skeeter(ENTP),Voldemort(ENTJ),Oliver Wood(ENTJ),Harry Potter(ISFP),Rubeus Hagrid(ISFP),Moaning Myrtle(ISFP),Quirinus Quirrell(ISFP),Dean Thomas(ISFP),Yum(XXXX),Ginny Weasley(ISFJ),Neville Longbottom(ISFJ),Cho Chang(ISFJ),Peter Pettigrew(ISFJ),Narcissa Malfoy(ISFJ),Filius Flitwick(ISFJ),Poppy Pomfrey(ISFJ),Parvati Patil(ISFJ),Aberforth Dumbledore(ISTP),Viktor Krum(ISTP),Bill Weasley(ISTP),Minerva McGonagall(ISTJ),Percy Weasley(ISTJ),Bane(ISTJ),Bane(ISTJ),Bane(ISTJ),Pius Thicknesse(ISTJ),Luna Lovegood(INFP),Dobby(INFP),Sybill Trelawney(INFP),Albus Dumbledore(INFJ),Remus Lupin(INFJ),Gellert Grindelwald(INFJ),Bem(INFJ),Fawkes(INFJ),Arthur Weasley(INTP),Garrick Ollivander(INTP),Lorcan Scamander(INTP),Severus Snape(INTJ),Tom Riddle(INTJ),Firenze(INTJ),Cordelia black(INTJ),",   Harry Potter (franchise)
3,"Simba(ESFP),Pumbaa(ESFP),Ed(ESFP),Kiara(ESFP),Nala(ESFJ),Sarabi(ESFJ),Nuka(ESFJ),Timon's Mom(ESFJ),Mufasa(ENFJ),Timon(ENTP),Rafiki(ENTP),Shenzi(ENTJ),Zira(ENTJ),Kovu(ISFP),Zazu(ISTJ),Uncle Max(ISTJ),Scar(INTJ),",   The Lion King (1994)
4,"Donkey(ESFP),Fiona(ESFJ),The Gingerbread Man ""Gingy""(ESFJ),Cinderella(ESFJ),Puss 'N Boots(ESTP),Prince Charming(ESTP),Lancelot(ESTP),Lord Farquaad(ESTJ),Guinevere(ESTJ),Merlin(ENFP),Mongo(ENFP),Griselda(ENFP),Queen Lilian(ENFJ),Dragon (Elizabeth)(ENFJ),Humpty Dumpty(ENFJ),Rumpelstiltskin(ENTP),Magic Mirror(ENTP),Gary(ENTP),Fairy Godmother(ENTJ),Snow White(ENTJ),Kitty Softpaws(ISFP),Captain Hook(ISFP),Shrek(ISTP),Doris the Ugly Stepsister(ISTP),Big Bad Wolf(ISTP),King Harold(ISTJ),Pinocchio(ISTJ),Pied piper(ISTJ),Arthur Pendragon(INFP),Sleeping Beauty(INFP),Xavier(INTJ),Evil Queen(INTJ),",   Shrek (Franchise)
5,"Bob Parr ""Mr. Incredible""(ESFP),Kari(ESFP),Dash Parr(ESTP),Lucius Best ""Frozone""(ESTP),Helen Parr ""Elastigirl""(ESTJ),The Underminer(ESTJ),Buddy Pine ""Syndrome""(ENFP),Jack-Jack Parr(ENFP),Karen ""Voyd""(ENFP),Winston Deavor(ENFJ),Edna Marie ""E"" Mode(ENTJ),Bomb Voyage(ISFP),Bomb Voyage(ISFP),Tony Rydinger(ISFJ),Simon J. Paladino ""Gazerbeam""(ISFJ),Rick Dicker(ISTJ),Gilbert Huph(ISTJ),Violet Parr(INFP),Mirage(XXXX),Evelyn Deavor(INTJ),",   The Incredibles (Franchise)
6,"Jack Dawson(ESFP),Brock Lovett(ESTP),Fifth Officer Harold Lowe(ESTP),Caledon ""Cal"" Hockley(ESTJ),Bruce Ismay(ESTJ),First Officer William McMaster Murdoch(ENFP),Molly Brown(ENTP),Rose Dewitt Bukater(ISFP),Chief Officer Henry Tingle Wilde(ISFJ),Ruth DeWitt Bukater(ISTJ),Captain Edward John Smith(ISTJ),Lovejoy(ISTJ),Thomas Andrews(INFJ),",   Titanic (1997)
7,"Aladdin(ESFP),Jasmine(ESFP),The Sultan(ESFJ),Gazeem(ESTP),Razoul(ESTJ),Prince Achmed(ESTJ),Genie(ENFP),Abu(ENFP),Magic Carpet(ENFP),Iago(ENTP),Jafar(INTJ),The Cave of Wonders(INTJ),",   Aladdin (1992)
8,"Marty McFly(ESFP),Stella Baines(ESFP),Jennifer Parker(ESFJ),Biff Tannen(ESTP),Douglas J. Needles(ESTP),Douglas J. Needles(ESTP),Douglas J. Needles(ESTP),Buford 'Mad Dog' Tannen(ESTP),Emmett ""Doc"" Brown(ENTP),Linda McFly(ISFP),Marlene McFly(ISFP),Marlene McFly(ISFP),Marlene McFly(ISFP),Lorraine Baines(ISFJ),Marty McFly, Jr(ISFJ),Sam Baines(ISTJ),Maggie McFly(ISTJ),Clara Clayton(INFJ),Clara Clayton(INFJ),George McFly(INTP),",   Back to the Future (franchise)
9,"Marla Singer(ESFP),Bob Paulson(ESFJ),Bob Paulson(ESFJ),The Narrator's Boss(ESTJ),Tyler Durden(ENTP),Chloe(ISFP),Angel Face(ISFP),The Narrator(ISFJ),",   Fight Club (1999)
