,movie
0,   Marvel Cinematic Universe
1,   Star Wars
2,   Harry Potter (franchise)
4,   The Lion King (1994)
5,   Shrek (Franchise)
6,   The Incredibles (Franchise)
7,   Titanic (1997)
8,   Aladdin (1992)
9,   Back to the Future (franchise)
11,   Fight Club (1999)
13,   Pirates of the Caribbean
18,   Coco (2017)
19,   The Lord of the Rings
22,   Finding Nemo (Franchise)
23,   Toy Story (Franchise)
24,   The Princess and the Frog (2009)
25,   Winnie the Pooh (2011)
26,   Forrest Gump (1994)
28,   Once Upon a Time in Hollywood (2019)
31,   The Hunger Games
32,   Charlie and the Chocolate Factory (2005)
33,   Cars (Franchise)
34,   Up (2009)
35,   The Godfather
36,   To All the Boys I've Loved Before (2018)
37,   Zootopia (2016)
38,   Hotel Transylvania (2012)
40,   Se7en (1995)
41,   Heathers (1988)
42,   Men in Black
43,   How to Train Your Dragon (Franchise)
45,   Beauty and the Beast (1991)
46,   Ice Age (Franchise)
47,   Kung Fu Panda (franchise)
48,   High School Musical (Film Trilogy)
49,   The Spider-Man Trilogy
50,   DC Extended Universe
52,   The Jungle Book (1967)
54,   The Kissing Booth
55,   Megamind (2010)
57,   American Beauty (1999)
58,   Coraline (2009)
61,   Bohemian Rhapsody (2018)
62,   Barbie as the Princess and the Pauper (2004)
63,   Karate Kid (1984)
64,"   Monsters, Inc. (2001)"
65,   The Hobbit
67,   1917 (2019)
68,   The Great Gatsby (2013)
71,   The Rocky Horror Picture Show (1975)
72,   Kingsman
73,   Baby Driver (2017)
74,   Cinderella (1950)
75,   Tinker Bell (2008)
77,   Inglourious Basterds (2009)
78,   The Nightmare Before Christmas (1993)
79,   Moana (2016)
80,   Portrait of a Lady on Fire (2019)
81,   Clueless (1995)
82,   The Little Mermaid (1989)
85,   Lolita (1997)
86,   Despicable Me
89,   The Shawshank Redemption (1994)
91,   Pride and Prejudice (2005)
92,   Booksmart (2019)
93,   A Clockwork Orange (1971)
94,   101 Dalmatians (1996)
95,   A Goofy Movie (1995)
96,   The Fast and the Furious
97,   The Wizard of Oz (1939)
